issue_date,country,title,sector,notice_type,download_link
"Nov 15, 2024",India,"Manipur Urban Road, Drainage and Asset Management Improvement Project",Transport,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/REOI.pdf
"Nov 15, 2024",Pakistan,"Reconstruction of National Highway N-5 under Pakistan’s Resilient Recovery, Rehabilitation and Reconstruction Framework Project",Transport,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/pakistan/REOI-Climate-Template.pdf
"Nov 15, 2024",Pakistan,"Reconstruction of National Highway N-5 under Pakistan’s Resilient Recovery, Rehabilitation and Reconstruction Framework Project",Transport,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/pakistan/REOI-Template-Envronmental-13-11-24.pdf
"Nov 15, 2024",Pakistan,"Reconstruction of National Highway N-5 under Pakistan’s Resilient Recovery, Rehabilitation and Reconstruction Framework Project",Transport,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/pakistan/REOI-Template-Social-Development.pdf
"Nov 11, 2024",Sri Lanka,Reduction of Landslide Vulnerability by Mitigation Measures (RLVMM) Project,Other,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Sri_lanka/SPN-G-MS-P-57.pdf
"Nov 11, 2024",Sri Lanka,Support to Colombo Urban Regeneration Project,Urban,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Sri_lanka/SPN-G-MS-P-57.pdf
"Nov 11, 2024",Pakistan,Lahore Water and Wastewater Management,Water,Corrigendum to Prequalification Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Pakistan/Final-Corrigendum-to-SPN-PQD-SWTP-Issue-Date-11.11.2024.pdf
"Oct 24, 2024",India,Mumbai Metro Line 5,Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/ADDENDUM_2_P2_CA_239-3.zip
"Oct 24, 2024",India,Mumbai Metro Line 5,Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/ADDENDUM_3_CA_239-1.zip
"Oct 24, 2024",India,Mumbai Metro Line 5,Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/ADDENDUM_3_CA_241-1.zip
"Oct 23, 2024",Türkiye,Istanbul Seismic Mitigation and Emergency Preparedness Additional Financing Project,Urban,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Turkey/AF-AIIB-GA1.1_SPN_rev.pdf
"Oct 23, 2024",Pakistan,"Reconstruction of National Highway N-5 under Pakistan’s Resilient Recovery, Rehabilitation and Reconstruction Framework Project",Transport,General Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Pakistan/GPN241017-final.pdf
"Oct 23, 2024",Uzbekistan,Bukhara Region Water Supply and Sewerage (BRWSSP),Water,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Uzbekistan/Eng-SPN-BWSP-W-RFB-27-22-OCT-2024.pdf
"Oct 23, 2024",Cambodia,Project: Cross-border Connectivity Enhancement Project (3CEP),Transport,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Cambodia/No5384-EOI-for-consulting-services-of-3CEP-project.pdf
"Oct 22, 2024",Bangladesh,Sylhet to Tamabil Road Upgrade Project,Transport,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Bangladesh/Sylhet-to-Tamabil-Road-Upgrade-Project_Contract_AwardGoods_Works_NCS-WP-01.pdf
"Oct 22, 2024",Bangladesh,Sylhet to Tamabil Road Upgrade Project,Transport,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Bangladesh/Sylhet-to-Tamabil-Road-Upgrade-Project_Contract_AwardGoods_Works_NCS-WP-03.pdf
